TESTATA;27/01/2022;09:48;SALARI 2021/12;920
GE;RIGA;G;44;01;000004;;EC_0010@ND@BU@ND;STI;EURO;;3001,00;3001,00;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;EC_0010@ND@BU@ND;3001,00;ND
GE;RIGA;G;44;01;000004;;FA_01@ND@SO@SE;STI;EURO;;118,06;118,06;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;FA_01@ND@SO@SE;118,06;ND
GE;RIGA;G;44;01;000004;;LO_00@ND@CP@ND;STI;EURO;;60,26;60,26;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;LO_00@ND@CP@ND;60,26;ND
GE;RIGA;G;44;01;000004;;LO_00@ND@MO@ND;STI;EURO;;528,58;528,58;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;LO_00@ND@MO@ND;528,58;ND
GE;RIGA;G;44;01;000004;;LO_00@ND@NI@ND;STI;EURO;;757,55;757,55;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;LO_00@ND@NI@ND;757,55;ND
GE;RIGA;G;44;01;000004;;LO_00@ND@PR@ND;STI;EURO;;235,06;235,06;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;LO_00@ND@PR@ND;235,06;ND
GE;RIGA;G;44;01;000004;;LO_00@ND@RM@ND;STI;EURO;;427,87;427,87;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;LO_00@ND@RM@ND;427,87;ND
GE;RIGA;G;44;01;000004;;LO_00@ND@SO@ND;STI;EURO;;238,70;238,70;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;LO_00@ND@SO@ND;238,70;ND
GE;RIGA;G;44;01;000004;;LO_00@ND@TA@ND;STI;EURO;;173,70;173,70;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;LO_00@ND@TA@ND;173,70;ND
GE;RIGA;G;44;01;000004;;SI_02@ND@SO@SE;STI;EURO;;27,85;27,85;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;SI_02@ND@SO@SE;27,85;ND
GE;RIGA;G;44;01;000004;;TR_02@ND@SO@ND;STI;EURO;;23,97;23,97;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;TR_02@ND@SO@ND;23,97;ND
GE;RIGA;G;44;01;000004;;TR_02@ND@SO@SE;STI;EURO;;105,37;105,37;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;TR_02@ND@SO@SE;105,37;ND
GE;RIGA;G;44;01;000004;;TR_09@ND@MO@ND;STI;EURO;;1573,01;1573,01;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;TR_09@ND@MO@ND;1573,01;ND
GE;RIGA;G;44;01;000004;;TR_09@ND@PR@ND;STI;EURO;;544,04;544,04;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;TR_09@ND@PR@ND;544,04;ND
GE;RIGA;G;08;12;000010;;SE;STI;EURO;;134992,53;134992,53;A;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;AM_00@ND@SO@SE;6073,85;ND
GE;CDC;AM_04@ND@SO@ND;954,73;ND
GE;CDC;AM_07@ND@SO@SE;2580,94;ND
GE;CDC;CO_00@ND@SO@SE;4970,89;ND
GE;CDC;CO_01@ND@SO@SE;465,12;ND
GE;CDC;DG_00@ND@SO@SE;9812,88;ND
GE;CDC;EC_0010@ND@BF@ND;2970,58;ND
GE;CDC;EC_0010@ND@BL@ND;37546,58;ND
GE;CDC;EC_0010@ND@BS@ND;16856,76;ND
GE;CDC;EC_0010@ND@BU@ND;9550,73;ND
GE;CDC;FA_01@ND@SO@SE;3789,37;ND
GE;CDC;LO_00@ND@CP@ND;1416,80;ND
GE;CDC;LO_00@ND@MO@ND;1657,39;ND
GE;CDC;LO_00@ND@NI@ND;3127,69;ND
GE;CDC;LO_00@ND@PR@ND;5858,35;ND
GE;CDC;LO_00@ND@RM@ND;6274,00;ND
GE;CDC;LO_00@ND@SO@ND;7548,22;ND
GE;CDC;LO_00@ND@TA@ND;4233,09;ND
GE;CDC;SI_02@ND@SO@SE;545,15;ND
GE;CDC;TR_02@ND@SO@ND;776,21;ND
GE;CDC;TR_02@ND@SO@SE;3924,06;ND
GE;CDC;TR_09@ND@MO@ND;2991,52;ND
GE;CDC;TR_09@ND@PR@ND;1067,62;ND
GE;RIGA;G;08;14;000008;;SE;STI;EURO;;147,45;147,45;A;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;EC_0010@ND@BU@ND;66,35;ND
